Dataset,SiteCode,POC,Date,Latitude,Longitude,Elevation,State,ammNO3f_Val,ammSO4f_Val,ECf_Val,OMCf_Val,RCTM_Val,MF_Val,CM_calculated_Val,RCFM_Val,SeaSaltf_Val,SOILf_Val
IMPAER,ACAD1,1,07/02/2016,44.3771,-68.261,157.3333,ME,0.08162,0.57611,0.09574,1.1367,4.38021,2.40807,2.36437,2.01584,0.08966,0.03602
IMPAER,ACAD1,1,07/05/2016,44.3771,-68.261,157.3333,ME,0.43625,1.31066,0.21066,3.14896,9.59284,6.45956,4.23684,5.356,0.09439,0.15507
IMPAER,ACAD1,1,07/08/2016,44.3771,-68.261,157.3333,ME,0.05386,0.17772,0.02256,0.42142,3.03605,1.15419,2.32669,0.70936,0.0324,0.00141
IMPAER,ACAD1,1,07/11/2016,44.3771,-68.261,157.3333,ME,0.07442,0.47077,0.02247,0.75611,4.43748,2.47706,3.06664,1.37084,0.01751,0.02955
IMPAER,ACAD1,1,07/14/2016,44.3771,-68.261,157.3333,ME,0.46552,1.02539,0.07197,0.94828,8.84841,4.99639,5.25309,3.59532,0.99938,0.08478
IMPAER,ACAD1,1,07/17/2016,44.3771,-68.261,157.3333,ME,0.19674,1.40782,0.14872,2.3695,6.30652,5.53324,2.02218,4.28434,0.02191,0.13966
IMPAER,ACAD1,1,07/20/2016,44.3771,-68.261,157.3333,ME,0.0555,0.32486,0.08581,2.61977,5.4663,3.78191,2.27561,3.19069,0.01071,0.09404
IMPAER,ACAD1,1,07/23/2016,44.3771,-68.261,157.3333,ME,0.15982,0.78541,0.09783,3.98203,7.68935,6.40907,2.43665,5.2527,0.08464,0.14297
IMPAER,ACAD1,1,07/26/2016,44.3771,-68.261,157.3333,ME,0.08747,1.35119,0.15771,3.11978,7.59279,6.84342,2.68495,4.90784,0.09405,0.09764
IMPAER,ACAD1,1,07/29/2016,44.3771,-68.261,157.3333,ME,0.11864,1.16405,0.18673,3.3745,7.62679,6.45816,2.66975,4.95704,0.02131,0.09181
IMPAER,ACAD1,1,06/03/2017,44.3771,-68.261,157.3333,ME,0.03885,0.2203,0.08509,0.69349,3.43554,1.18056,2.34388,1.09166,0.03703,0.0169
IMPAER,ACAD1,1,06/06/2017,44.3771,-68.261,157.3333,ME,0.22016,0.54985,0.05118,0.46269,8.22594,2.19367,6.24863,1.97731,0.64006,0.05336
IMPAER,ACAD1,1,06/09/2017,44.3771,-68.261,157.3333,ME,0.16356,0.39731,0.10262,1.09838,7.54006,2.34802,5.47948,2.06058,0.19633,0.10239
IMPAER,ACAD1,1,06/12/2017,44.3771,-68.261,157.3333,ME,0.28108,3.07495,0.39554,6.58386,23.9114,13.03837,12.9163,10.9951,0.05904,0.60065
IMPAER,ACAD1,1,06/15/2017,44.3771,-68.261,157.3333,ME,0.03492,0.13991,0.0704,0.8129,4.37893,1.05637,3.15755,1.22138,0.01674,0.14651
IMPAER,ACAD1,1,06/18/2017,44.3771,-68.261,157.3333,ME,0.06976,0.67321,0.0946,0.80791,3.28152,1.66728,1.58981,1.69171,0.01931,0.02691
IMPAER,ACAD1,1,06/21/2017,44.3771,-68.261,157.3333,ME,0.22332,0.85664,0.14579,2.19163,8.14118,3.80465,4.55632,3.58486,0.04761,0.11987
